keys,en,zh_CN
A Hexwright field-binding that thickens whatever the tank pulses out into the ring of dirt around it.,A Hexwright field-binding that thickens whatever the tank pulses out into the ring of dirt around it.,一道符文匠的场域束缚，把坦克脉冲到周身泥圈里的一切都加厚。
+25% to area-pulse weapons.,+25% to area-pulse weapons.,范围脉冲武器 +25%。
"Calibration recovered from the Ashmark breakwalls, meant to shove a whole front rank into the next world.","Calibration recovered from the Ashmark breakwalls, meant to shove a whole front rank into the next world.",从艾什马克破墙处回收的校准，意在把一整排前锋推进下一个世界。
Wavefire: +25% to wave weapons.,Wavefire: +25% to wave weapons.,波动射击：波动武器 +25%。
"Foundry ricochet-work, each hop tuned to land angrier than the last off scrap nobody else would salvage.","Foundry ricochet-work, each hop tuned to land angrier than the last off scrap nobody else would salvage.",铸造厂的跳弹手艺，用没人愿捡的废料调校，每一跳都落得比上一跳更暴怒。
+25% to bounce weapons.,+25% to bounce weapons.,弹射武器 +25%。
"Warden close-line doctrine, where the work is done at knife-reach and the gunner smells what he kills.","Warden close-line doctrine, where the work is done at knife-reach and the gunner smells what he kills.",卫士的近线信条，活计在刀锋可及处完成，射手闻得到自己杀的东西。
Command Aura: +25% to short-range (<=600).,Command Aura: +25% to short-range (<=600).,指挥光环：近程武器（<=600）+25%。
"A long-glass sighting kit off an Ashmark sniper-nest, for killing them before they have a face.","A long-glass sighting kit off an Ashmark sniper-nest, for killing them before they have a face.",从艾什马克狙击巢取下的长镜瞄准套件，趁敌人还没成形就把它们干掉。
Trueshot Aura: +25% to long-range (>=900).,Trueshot Aura: +25% to long-range (>=900).,精准光环：远程武器（>=900）+25%。
"The Foundry's cheapest overruns, the junk the Greycoats are handed first, made to earn twice its serial.","The Foundry's cheapest overruns, the junk the Greycoats are handed first, made to earn twice its serial.",铸造厂最便宜的过剩货，灰袍兵最先领到的破烂，被调教成赚回两倍序列号的本事。
Engineering Upgrade: doubles common-weapon damage.,Engineering Upgrade: doubles common-weapon damage.,工程升级：普通品质武器伤害翻倍。
Warden execution drill: a thing on the ground and stunned is a thing the line stops counting.,Warden execution drill: a thing on the ground and stunned is a thing the line stops counting.,卫士的处决操典：一个倒地又被眩晕的东西，就是防线不再计数的东西。
Bash: +20% damage to stunned enemies.,Bash: +20% damage to stunned enemies.,重击：对被眩晕的敌人伤害 +20%。
Finish what the field-rations and the rot already started in them.,Finish what the field-rations and the rot already started in them.,把野战口粮和腐烂已经在它们体内开了头的活儿做完。
Corrosive Poison: +25% damage to poisoned.,Corrosive Poison: +25% damage to poisoned.,腐蚀剧毒：对中毒目标伤害 +25%。
Greycoat sickness spread through Ashmark in the bad winters; the Conclave learned to concentrate it.,Greycoat sickness spread through Ashmark in the bad winters; the Conclave learned to concentrate it.,灰袍兵的瘟病在严冬里传遍了艾什马克；议政会学会了把它浓缩。
Potent Poison: +10% applied poison damage.,Potent Poison: +10% applied poison damage.,强效剧毒：施加的中毒伤害 +10%。
"A Hexwright lock that holds the stunned a breath longer, long enough for the Wardens to work.","A Hexwright lock that holds the stunned a breath longer, long enough for the Wardens to work.",一道符文匠的锁，把被眩晕者多按住一口气的工夫，刚够卫士动手。
Dazing Stuns: +50% stun duration.,Dazing Stuns: +50% stun duration.,昏眩眩晕：眩晕持续时间 +50%。
"Field-improvised cruelty: Ashmark scrap-iron driven point-out into the tank's hull, set so the swing that lands draws a little back.","Field-improvised cruelty: Ashmark scrap-iron driven point-out into the tank's hull, set so the swing that lands draws a little back.",战地临时拼凑的残忍：艾什马克的废铁尖头朝外钉进坦克舱体，落在它身上的每一击都会被回敬一点。
Dreadlord Fang: +80 retaliation when hit.,Dreadlord Fang: +80 retaliation when hit.,恐惧魔王之牙：受击时反伤 +80。
"A denser hide of welded scrap, the kind a Warden bolts on when reaching the tank should cost a limb.","A denser hide of welded scrap, the kind a Warden bolts on when reaching the tank should cost a limb.",一层焊接废料堆出的更密厚皮，卫士想让靠近坦克的代价是一条肢体时就拴上它。
+300 retaliation damage when hit.,+300 retaliation damage when hit.,受击时反伤 +300。
"The same improvised barbs, ground keener by a gunner with nothing left to do but sharpen the punishment.","The same improvised barbs, ground keener by a gunner with nothing left to do but sharpen the punishment.",还是那些临时倒刺，被一个除了磨利惩罚再无事可做的射手磨得更尖。
+50% to all spikes damage.,+50% to all spikes damage.,所有尖刺伤害 +50%。
"Every round the war drags on, the Wardens hammer fresh scrap into the hull and the welcome gets crueler.","Every round the war drags on, the Wardens hammer fresh scrap into the hull and the welcome gets crueler.",战争每多拖一回合，卫士就往舱体里锤进新的废料，迎客之礼也愈发残忍。
"Growing Spikes: +80 now, +10 every round.","Growing Spikes: +80 now, +10 every round.",生长尖刺：当前 +80，每回合 +10。
A Hexwright marking-rite that opens the flesh of everything near; the marked do not heal what is opened.,A Hexwright marking-rite that opens the flesh of everything near; the marked do not heal what is opened.,一道符文匠的标记仪式，剖开附近一切的血肉；被标记者无法愈合那道被剖开的伤。
Vulnerability Totem: nearby enemies take +5%/sec.,Vulnerability Totem: nearby enemies take +5%/sec.,易伤图腾：附近敌人每秒承受伤害 +5%。
"The Relief never came, so the Wardens took their mending off the dying and bolted fresh plate while they were at it.","The Relief never came, so the Wardens took their mending off the dying and bolted fresh plate while they were at it.",援军始终没来，于是卫士把治愈从垂死者身上拿走，顺手又拴上了新的装甲板。
"Mask of Death: +1000 max HP, +15 HP per kill.","Mask of Death: +1000 max HP, +15 HP per kill.",死亡面具：最大生命 +1000，每次击杀 +15 生命。
"A deeper draught of the same grim arithmetic, each corpse on the line paying back the Relief's debt.","A deeper draught of the same grim arithmetic, each corpse on the line paying back the Relief's debt.",同一道冷酷算术更深的一饮，防线上每具尸体都在偿还援军的欠债。
+60 HP each time an enemy dies.,+60 HP each time an enemy dies.,每当一名敌人死亡 +60 生命。
"Conclave rot-spores feed two mouths at once, the dying enemy's and the gunner the Relief abandoned.","Conclave rot-spores feed two mouths at once, the dying enemy's and the gunner the Relief abandoned.",议政会的腐孢同时喂养两张嘴：垂死的敌人，和被援军抛弃的射手。
Reanimating Poison: +5 HP every poison tick.,Reanimating Poison: +5 HP every poison tick.,复生剧毒：每次中毒跳动 +5 生命。
"Three flips of a Greycoat token, and the quartermaster's ledger pays out in triplicate before anyone checks the column twice.","Three flips of a Greycoat token, and the quartermaster's ledger pays out in triplicate before anyone checks the column twice.",灰袍兵的代币翻三下，军需官的账册就在没人复核那一栏之前付出了三份。
Multiplication Gems: next common yields 3 copies.,Multiplication Gems: next common yields 3 copies.,增殖宝石：下一件普通品质产出 3 份。
"The Conclave keeps a second of everything worth having, off the ledger and out of the quartermaster's count.","The Conclave keeps a second of everything worth having, off the ledger and out of the quartermaster's count.",凡是值得拥有的，议政会都留一份备份，不入账册，不计军需官的数。
Duplicator: next rare bought yields 1 free copy.,Duplicator: next rare bought yields 1 free copy.,复制器：下一件购买的稀有品额外免费产出 1 份。
"A name in the right margin of the ledger, and the Greycoats look the other way once.","A name in the right margin of the ledger, and the Greycoats look the other way once.",账册右栏写上一个名字，灰袍兵就睁一只眼闭一只眼一回。
Black Market: next uncommon purchase is free.,Black Market: next uncommon purchase is free.,黑市：下一次购买的非凡品质免费。
"Coin the Greycoats buried at Ashmark before the line broke, dug up and still drawing interest.","Coin the Greycoats buried at Ashmark before the line broke, dug up and still drawing interest.",灰袍兵在防线崩溃前埋于艾什马克的金币，挖出来时仍在生息。
"Magic Treasure: +250 gold now, +5 income/round.","Magic Treasure: +250 gold now, +5 income/round.",魔法宝藏：当前金币 +250，每回合收入 +5。
"The Wardens buried this rite with their last chaplain; it answers once, and resents being asked.","The Wardens buried this rite with their last chaplain; it answers once, and resents being asked.",卫士把这道仪式和最后一位随军牧师一同葬下；它只应答一次，且厌恶被请求。
"Ankh of Reconstruction: revive once, +2000 max HP.","Ankh of Reconstruction: revive once, +2000 max HP.",重构生命符：复活一次，最大生命 +2000。
"What field-dressing the Wardens have left, doled out by a surgeon who stopped counting the dead at Ashmark.","What field-dressing the Wardens have left, doled out by a surgeon who stopped counting the dead at Ashmark.",卫士剩下的那点战地包扎，由一位在艾什马克停止清点死者的军医分发。
Healing Hand: +25% to all healing received.,Healing Hand: +25% to all healing received.,治愈之手：受到的所有治疗 +25%。
"Hexwright greenwood grown through the hull, more wall and slower mending the closer to death the gunner runs.","Hexwright greenwood grown through the hull, more wall and slower mending the closer to death the gunner runs.",贯穿舱体生长的符文匠青木，射手越逼近死亡，它就越像墙、愈合得越缓。
"Living Wood: +2000 max HP, 1.5% missing HP/sec.","Living Wood: +2000 max HP, 1.5% missing HP/sec.",活木：最大生命 +2000，每秒回复已损生命的 1.5%。
Every Warden bow racked beside this one lends its draw to the next; the whole rack of them sights truer for the hoard.,Every Warden bow racked beside this one lends its draw to the next; the whole rack of them sights truer for the hoard.,架在它旁边的每一张卫士弓都把拉力借给下一张；整架弓因这囤积而瞄得更准。
"Enchanted Moon Arrow: +100% piercing, +1% per Bow.","Enchanted Moon Arrow: +100% piercing, +1% per Bow.",附魔月之箭：穿刺 +100%，每拥有一张弓 +1%。
"Ranged together, Foundry mortars find the old Ashmark firing tables faster, each barrel correcting the last.","Ranged together, Foundry mortars find the old Ashmark firing tables faster, each barrel correcting the last.",成列排开时，铸造厂的迫击炮更快找回古老的艾什马克射表，每一门修正上一门。
"Refined Explosives: +100% siege, +1% per Mortar.","Refined Explosives: +100% siege, +1% per Mortar.",精炼炸药：攻城 +100%，每拥有一门迫击炮 +1%。
Feed the Foundry's worst machine more of its own kind and the chaos in it deepens with the count.,Feed the Foundry's worst machine more of its own kind and the chaos in it deepens with the count.,给铸造厂最糟的机器喂更多同类，它体内的混沌就随数量加深。
+10% chaos per Death Engine owned.,+10% chaos per Death Engine owned.,每拥有一台死亡引擎，混沌 +10%。
"The Greycoats will buy the meat off a living Warden, and the ledger never asks why the line went thin.","The Greycoats will buy the meat off a living Warden, and the ledger never asks why the line went thin.",灰袍兵连活卫士身上的肉也照买，账册从不问防线为何越来越薄。
"Philosopher's Stone: -1000 max HP, +2000 gold.","Philosopher's Stone: -1000 max HP, +2000 gold.",贤者之石：最大生命 -1000，金币 +2000。
"Stop the surgeon's work, sell the bandages, and pay the quartermaster in the healing you'll never get.","Stop the surgeon's work, sell the bandages, and pay the quartermaster in the healing you'll never get.",叫停军医，卖掉绷带，用你永远得不到的治愈去付给军需官。
"Cursed Treasure: -100 HP regen, +5000 gold.","Cursed Treasure: -100 HP regen, +5000 gold.",诅咒宝藏：生命再生 -100，金币 +5000。
The Greycoats price the dead by the wound; every hundred you open is a coin in the ledger.,The Greycoats price the dead by the wound; every hundred you open is a coin in the ledger.,灰袍兵按伤口给死者定价；你每剖开一百点，账册上就多一枚金币。
+1 gold per 100 damage dealt.,+1 gold per 100 damage dealt.,每造成 100 点伤害 +1 金币。
"A richer contract from the same bloody ledger, paying out every twenty points of ruin you deal.","A richer contract from the same bloody ledger, paying out every twenty points of ruin you deal.",同一本血账上更丰厚的一纸合约，你每造成二十点毁伤便结一笔。
+1 gold per 20 damage dealt.,+1 gold per 20 damage dealt.,每造成 20 点伤害 +1 金币。
"The Hexwrights tithe a quarter of your takings into borrowed math, keeping the skin paid up.","The Hexwrights tithe a quarter of your takings into borrowed math, keeping the skin paid up.",符文匠把你收入的四分之一抽作什一税投入借来的算术，让那层外皮始终付清欠款。
"Income tops up your mana shield, 25%.","Income tops up your mana shield, 25%.",收入为你的法力护盾充能，25%。
"Conclave shieldwork that studies the siege as it stands, thickening a little more each round it endures.","Conclave shieldwork that studies the siege as it stands, thickening a little more each round it endures.",议政会的护盾手艺，边守边研究这场围城，每熬过一回合就加厚一分。
"+2500 shield, +400 more each round.","+2500 shield, +400 more each round.",护盾 +2500，每回合再 +400。
"A patched plate off an Ashmark casualty, just enough give before the seam parts.","A patched plate off an Ashmark casualty, just enough give before the seam parts.",从艾什马克一名伤亡者身上补来的甲板，接缝绷裂前刚好能让你喘口气。
Improved Masonry: +500 max HP.,Improved Masonry: +500 max HP.,强化砌石：最大生命 +500。
"A spare Warden quiver, the heads honed on the same stone the last gunner used.","A spare Warden quiver, the heads honed on the same stone the last gunner used.",一只备用的卫士箭袋，箭头是在上一名射手用过的同一块磨石上磨利的。
"Plain Foundry shot, no markings, no cleverness, stamped out by the crate.","Plain Foundry shot, no markings, no cleverness, stamped out by the crate.",朴素的铸造厂弹丸，无标记，无花巧，成箱地冲压出来。
Improved Normal Attacks: +10% normal damage.,Improved Normal Attacks: +10% normal damage.,强化普通攻击：普通伤害 +10%。
"A Foundry overrun of siege charges, serialed for a wall at Ashmark that no longer stands.","A Foundry overrun of siege charges, serialed for a wall at Ashmark that no longer stands.",铸造厂过剩的攻城炸药，编号对应艾什马克一堵早已不复存在的城墙。
"Conclave ordnance the Hexwrights signed for but never logged, full of something that resents the barrel.","Conclave ordnance the Hexwrights signed for but never logged, full of something that resents the barrel.",符文匠签收却从未登记的议政会军械，里头满是憎恶枪管的东西。
Improved Chaos Attacks: +10% chaos damage.,Improved Chaos Attacks: +10% chaos damage.,强化混沌攻击：混沌伤害 +10%。
"Hull plating cut from a dead Ashmark engine, bolted over the old wounds.","Hull plating cut from a dead Ashmark engine, bolted over the old wounds.",从一台报废的艾什马克引擎上割下的舱体装甲，拴在旧伤之上。
+1000 max HP.,+1000 max HP.,最大生命 +1000。
"A Foundry armor ration, thin but stamped and accounted for in the ledger.","A Foundry armor ration, thin but stamped and accounted for in the ledger.",一份铸造厂的护甲配给，虽薄却盖了章、记了账。
+10 flat armor.,+10 flat armor.,固定护甲 +10。
Heavy Warden plate pulled off a tank that held this line three reliefs ago.,Heavy Warden plate pulled off a tank that held this line three reliefs ago.,从一辆三次援军之前还守着这条防线的坦克上拆下的卫士重甲。
+2000 max HP.,+2000 max HP.,最大生命 +2000。
The Greycoats run the corpse-tally generous when the bodies pile this high.,The Greycoats run the corpse-tally generous when the bodies pile this high.,当尸体堆到这般高，灰袍兵清点起来便慷慨了。
+50% gold per kill.,+50% gold per kill.,每次击杀金币 +50%。
"A Hexwright recharging-rite for the borrowed skin, drawing the pool back up a quarter faster than it bleeds.","A Hexwright recharging-rite for the borrowed skin, drawing the pool back up a quarter faster than it bleeds.",为那层借来外皮准备的符文匠充能仪式，把储量回灌得比它流失快四分之一。
"Recharge: +2000 shield, +25% shield regen.","Recharge: +2000 shield, +25% shield regen.",充能：护盾 +2000，护盾再生 +25%。
"A standing line in the quartermaster's ledger, paid out of Ashmark salvage each round.","A standing line in the quartermaster's ledger, paid out of Ashmark salvage each round.",军需官账册上一笔固定条目，每回合从艾什马克的回收物中支取。
+20 gold income per round.,+20 gold income per round.,每回合金币收入 +20。
"A scrap of Foundry plate, half a ration, glancing off what it can.","A scrap of Foundry plate, half a ration, glancing off what it can.",一小块铸造厂甲板，半份配给，能挡则挡。
Tower Armor: +5 flat armor.,Tower Armor: +5 flat armor.,塔楼护甲：固定护甲 +5。
"A Foundry gear-kit that shaves the pause between firings, cut from a faster machine.","A Foundry gear-kit that shaves the pause between firings, cut from a faster machine.",一套铸造厂齿轮组，削减两次击发之间的停顿，取自一台更快的机器。
+10% attack speed.,+10% attack speed.,攻击速度 +10%。
"The Wardens' field-surgeon at full pace, stitching faster than the line falls apart, and faster still as the wounds mount.","The Wardens' field-surgeon at full pace, stitching faster than the line falls apart, and faster still as the wounds mount.",卫士的战地军医全速运转，缝合得比防线崩散还快，伤口越多缝得越快。
"Renew: +80 HP regen, then +25%.","Renew: +80 HP regen, then +25%.",恢复：生命再生 +80，再 +25%。
"A slow, stubborn mending, all the relief the Wardens could spare this post.","A slow, stubborn mending, all the relief the Wardens could spare this post.",一种缓慢而固执的愈合，是卫士能匀给这个哨位的全部慰藉。
Repair Crew: +20 HP regen per tick.,Repair Crew: +20 HP regen per tick.,维修队：每跳生命再生 +20。
"A thin trickle on the Greycoat ledger, the kind command forgets to honor.","A thin trickle on the Greycoat ledger, the kind command forgets to honor.",灰袍兵账册上细细的一笔，正是指挥部会忘记兑现的那种。
Magic Coin: +5 gold income per round.,Magic Coin: +5 gold income per round.,魔法硬币：每回合金币收入 +5。
"A modest seam in the quartermaster's books, paid round on round and skimmed a margin besides.","A modest seam in the quartermaster's books, paid round on round and skimmed a margin besides.",军需官账本里不起眼的一道矿脉，回回结付，外加揩去一层油。
"Gold Mine: +10 income, +10% income.","Gold Mine: +10 income, +10% income.",金矿：收入 +10，收入 +10%。
"The Greycoats pay twice over for the same fallen, the ledger long past honesty.","The Greycoats pay twice over for the same fallen, the ledger long past honesty.",同一名阵亡者，灰袍兵付两遍钱，这账册早已与诚实无缘。
+100% gold per kill.,+100% gold per kill.,每次击杀金币 +100%。
"Conclave shot the Hexwrights leaned on too hard, biting back through the barrel each time.","Conclave shot the Hexwrights leaned on too hard, biting back through the barrel each time.",符文匠用得太狠的议政会弹丸，每次都顺着枪管反咬一口。
"A respectable clip of mending, more than the Relief ever delivered to this line.","A respectable clip of mending, more than the Relief ever delivered to this line.",一段相当可观的愈合，比援军给过这条防线的还多。
+40 HP regen per tick.,+40 HP regen per tick.,每跳生命再生 +40。
"An obscene coat of Hexwright life-work, more borrowed skin than any Warden was meant to wear, and it turns the blows it eats.","An obscene coat of Hexwright life-work, more borrowed skin than any Warden was meant to wear, and it turns the blows it eats.",一层过分的符文匠生命之作，借来的外皮多过任何卫士本该承受的，它还能挡下吞下的打击。
Energy Shield: +10000 mana shield.,Energy Shield: +10000 mana shield.,能量护盾：法力护盾 +10000。
"A Greycoat's bad habits, learned at Ashmark: one swing in ten finds only air.","A Greycoat's bad habits, learned at Ashmark: one swing in ten finds only air.",灰袍兵在艾什马克学来的坏习惯：十下里有一下只挥到空气。
"The Greycoat ledger compounds as the siege drags on, the dead worth more every round The Hippocrate nears.","The Greycoat ledger compounds as the siege drags on, the dead worth more every round The Hippocrate nears.","随围城拖延，灰袍兵的账册复利增长，""希波克拉底""每靠近一回合，死者就更值钱。"
"+100% kill gold, +15% more each round.","+100% kill gold, +15% more each round.",击杀金币 +100%，每回合再 +15%。
"Warden salvage welded round Warden salvage, the wall thickening every round the line holds.","Warden salvage welded round Warden salvage, the wall thickening every round the line holds.",卫士回收物焊在卫士回收物外，防线每守住一回合，墙就加厚一层。
"+2500 max HP, +500 more each round.","+2500 max HP, +500 more each round.",最大生命 +2500，每回合再 +500。
"A thin Hexwright coat of borrowed math, enough to spend before your own skin.","A thin Hexwright coat of borrowed math, enough to spend before your own skin.",一层薄薄的符文匠借来算术之衣，够你在赔上自己皮肉前先花。
Mana Shield: +1000 mana shield.,Mana Shield: +1000 mana shield.,法力护盾：法力护盾 +1000。
"The Wardens' last surgeon works faster the longer the war grinds, mending quickening as the siege wears on.","The Wardens' last surgeon works faster the longer the war grinds, mending quickening as the siege wears on.",卫士最后一位军医随战事磨砺而手脚越快，围城拖得越久，愈合也越快。
"+120 HP/tick regen, +30 more each round.","+120 HP/tick regen, +30 more each round.",每跳生命再生 +120，每回合再 +30。
"Foundry masons fit the old wall to a finer tolerance than the war deserves, and the thicker it stands the harder its guns hit.","Foundry masons fit the old wall to a finer tolerance than the war deserves, and the thicker it stands the harder its guns hit.",铸造厂的石匠把旧墙修到了比这场战争配得上的更高精度，墙立得越厚，它的炮打得越狠。
"Mastercrafted Masonry: +5000 max HP, +1% damage per 2000 max HP.","Mastercrafted Masonry: +5000 max HP, +1% damage per 2000 max HP.",匠造砌石：最大生命 +5000，每 2000 最大生命使伤害 +1%。
"A Greycoat quartermaster's signet, worn smooth on the corpse-ledger; the richer the bounty it counts, the meaner the line shoots.","A Greycoat quartermaster's signet, worn smooth on the corpse-ledger; the richer the bounty it counts, the meaner the line shoots.",一枚灰袍兵军需官的印戒，在尸体账册上磨得发亮；它清点的赏金越丰厚，防线打得就越凶。
"Golden Ring: +200% kill bounty, +1% damage per 50% bounty.","Golden Ring: +200% kill bounty, +1% damage per 50% bounty.",黄金指环：击杀赏金 +200%，每 50% 赏金使伤害 +1%。
"A Hexwright sigil burned into the borrowed skin; while the shield holds, every shot carries a little of that stolen fire.","A Hexwright sigil burned into the borrowed skin; while the shield holds, every shot carries a little of that stolen fire.",一道烙进那层借来外皮的符文匠魔印；只要护盾还在，每一发都带着一点偷来的火。
"Arcane Mark: +4000 mana shield, +20% damage while it holds.","Arcane Mark: +4000 mana shield, +20% damage while it holds.",奥术印记：法力护盾 +4000，护盾存在时伤害 +20%。
The Conclave fed this thing on the dying and it learned to drink; each corpse on the line tops its borrowed skin back up.,The Conclave fed this thing on the dying and it learned to drink; each corpse on the line tops its borrowed skin back up.,议政会用垂死者喂养这东西，它学会了畅饮；防线上每具尸体都把它借来的外皮回灌一截。
"Maw of Death: +2000 mana shield, +15 shield per enemy killed.","Maw of Death: +2000 mana shield, +15 shield per enemy killed.",死亡之喉：法力护盾 +2000，每击杀一名敌人护盾 +15。
"Hexwright shielding wound so tight that when it finally fails it fails outward, a white concussion that lays the whole front rank flat.","Hexwright shielding wound so tight that when it finally fails it fails outward, a white concussion that lays the whole front rank flat.",符文匠的护盾缠得极紧，终于失效时便向外炸开，一记白色震荡把整排前锋掀翻在地。
"Energy Pulse: +2000 mana shield; when it breaks, stun all enemies in 1200 for 0.5s.","Energy Pulse: +2000 mana shield; when it breaks, stun all enemies in 1200 for 0.5s.",能量脉冲：法力护盾 +2000；破碎时，眩晕 1200 范围内所有敌人 0.5 秒。
"Greycoat sickness ground into the welds, so the swing that draws the tank's blood draws its own rot back.","Greycoat sickness ground into the welds, so the swing that draws the tank's blood draws its own rot back.",灰袍兵的瘟病被磨进焊缝，于是任何放出坦克之血的一击，也会引来它自己的腐烂。
"Poison Armor: +10 armor, +40 spikes; retaliation also poisons.","Poison Armor: +10 armor, +40 spikes; retaliation also poisons.",剧毒护甲：护甲 +10，尖刺 +40；反伤同时附带中毒。
"Each blow against the hull breaks off another barb into it; the longer the line presses, the crueler the welcome grows, until the round resets the count.","Each blow against the hull breaks off another barb into it; the longer the line presses, the crueler the welcome grows, until the round resets the count.",每记砸向舱体的打击都会折断又一根倒刺嵌进去；前线压得越久，迎客之礼就越残忍，直到回合重置计数。
Bloody Spikes: +80 spikes; retaliation stacks more damage each hit (resets each round).,Bloody Spikes: +80 spikes; retaliation stacks more damage each hit (resets each round).,血腥尖刺：尖刺 +80；反伤每次受击叠加更多伤害（每回合重置）。
"A Hexwright rot-totem bolted to the tank, breathing a slow green ruin into the ground around it that the close-pressed never leave clean.","A Hexwright rot-totem bolted to the tank, breathing a slow green ruin into the ground around it that the close-pressed never leave clean.",一根拴在坦克上的符文匠腐烂图腾，向周身土地缓缓吐出绿色的毁灭，逼近的敌人从不能干净脱身。
Blight Aura: +200 regen; pulse 200 poison damage in 600 every second.,Blight Aura: +200 regen; pulse 200 poison damage in 600 every second.,枯萎光环：再生 +200；每秒在 600 范围内脉冲 200 点中毒伤害。
MATCH RESULTS,MATCH RESULTS,对局结算
You placed #%d of %d,You placed #%d of %d,你获得第 %d 名（共 %d 人）
PLAYER,PLAYER,玩家
RESULT,RESULT,结果
SCORE,SCORE,得分
WIN,WIN,胜
LOSS,LOSS,负
REMATCH,REMATCH,再来一局
BACK TO LOBBY,BACK TO LOBBY,返回大厅
MENU,MENU,菜单
[Enter] Rematch   ·   [Esc / S] Menu,[Enter] Rematch   ·   [Esc / S] Menu,[Enter] 再来一局   ·   [Esc / S] 菜单
[Enter] Back to Lobby   ·   [Esc / S] Menu,[Enter] Back to Lobby   ·   [Esc / S] Menu,[Enter] 返回大厅   ·   [Esc / S] 菜单
PAUSED,PAUSED,已暂停
Resume,Resume,继续游戏
Settings,Settings,设置
Quit to Menu,Quit to Menu,退出到主菜单
QUIT TO MENU?,QUIT TO MENU?,退出到主菜单？
This run is still live — quitting abandons it.,This run is still live — quitting abandons it.,本局仍在进行中——退出即放弃这局。
Keep Playing,Keep Playing,继续作战
SETTINGS,SETTINGS,设置
Master Volume,Master Volume,主音量
SFX Volume,SFX Volume,音效音量
Music Volume,Music Volume,音乐音量
Mute,Mute,静音
Language,Language,语言
Screen Shake,Screen Shake,屏幕震动
On,On,开
Off,Off,关
Back,Back,返回
[↑↓] select   [Enter] confirm   [Esc] resume,[↑↓] select   [Enter] confirm   [Esc] resume,[↑↓] 选择   [Enter] 确认   [Esc] 继续
[↑↓] select   [Enter] confirm   [Esc] back,[↑↓] select   [Enter] confirm   [Esc] back,[↑↓] 选择   [Enter] 确认   [Esc] 返回
[↑↓] select   [←→] adjust   [Enter] apply   [Esc] back,[↑↓] select   [←→] adjust   [Enter] apply   [Esc] back,[↑↓] 选择   [←→] 调整   [Enter] 应用   [Esc] 返回
BLACK MARKET,BLACK MARKET,黑市
Buy 1 Uncommon weapon or Spikes upgrade of your choosing — free. The market waits until you choose.,Buy 1 Uncommon weapon or Spikes upgrade of your choosing — free. The market waits until you choose.,免费任选 1 件精良武器或尖刺强化——黑市会一直等到你做出选择。
UNCOMMON WEAPONS,UNCOMMON WEAPONS,精良武器
SPIKES UPGRADES,SPIKES UPGRADES,尖刺强化
★ BLACK MARKET — pick pending  [B],★ BLACK MARKET — pick pending  [B],★ 黑市 — 待领取  [B]
[←→] column   [↑↓] select   [Enter] pick   [Esc] later,[←→] column   [↑↓] select   [Enter] pick   [Esc] later,[←→] 切换栏   [↑↓] 选择   [Enter] 领取   [Esc] 稍后
Game Speed,Game Speed,游戏速度
Normal,Normal,正常
Fast,Fast,快速
Faster,Faster,更快
Hyper,Hyper,极速
SPEED: %s  ·  ×%s  ·  %d ticks/s   [F] change,SPEED: %s  ·  ×%s  ·  %d ticks/s   [F] change,速度：%s · ×%s · 每秒 %d 刻   [F] 切换
SPEED: %s  ·  ×%s  ·  %d ticks/s,SPEED: %s  ·  ×%s  ·  %d ticks/s,速度：%s · ×%s · 每秒 %d 刻
speed %s ×%s · %d ticks/s,speed %s ×%s · %d ticks/s,速度 %s ×%s · 每秒 %d 刻
Only the host can change game speed.,Only the host can change game speed.,只有主机可以更改游戏速度。
Game speed is locked once the match has started.,Game speed is locked once the match has started.,对局开始后游戏速度即被锁定。
best: %s,best: %s,最佳：%s
NEW BEST ROUND!,NEW BEST ROUND!,新纪录：最高轮次！
NEW BEST DAMAGE!,NEW BEST DAMAGE!,新纪录：最高伤害！
NEW BEST GOLD!,NEW BEST GOLD!,新纪录：最高金币！
Survived %s,Survived %s,存活 %s
The boss was %s away,The boss was %s away,距首领登场还差 %s
Boss had %d%% left,Boss had %d%% left,首领仅剩 %d%% 生命
+%d rounds vs your best,+%d rounds vs your best,比你的最佳纪录多 %d 轮
-%d rounds short of your best,-%d rounds short of your best,距你的最佳纪录还差 %d 轮
Overwhelmed by %s ×%d — took %s damage in the final 10 s,Overwhelmed by %s ×%d — took %s damage in the final 10 s,被 %s ×%d 淹没——最后 10 秒承受 %s 伤害
NEXT: %s — %s / %s,NEXT: %s — %s / %s,下一目标：%s — %s / %s
"Tip: enemy waves scale every round (and jump +20% at 10:00) — buy HP, armor and regen so the ramp doesn't outpace you.","Tip: enemy waves scale every round (and jump +20% at 10:00) — buy HP, armor and regen so the ramp doesn't outpace you.",提示：敌潮每轮都在增强（10:00 更猛增 +20%）——购买生命、护甲与回复，别被强度曲线甩开。
Tip: the shop closes for good at 15:00 when the boss arrives — spend your gold before the bell.,Tip: the shop closes for good at 15:00 when the boss arrives — spend your gold before the bell.,提示：15:00 首领登场时商店将永久关闭——赶在钟声前把金币花掉。
Tip: Clear [Space] is the only thing that hurts the boss — keep it off cooldown once the boss is up.,Tip: Clear [Space] is the only thing that hurts the boss — keep it off cooldown once the boss is up.,提示：清场 [Space] 是唯一能伤到首领的手段——首领现身后要掐好冷却。
